sl	movie_name	imdb_id	file_name	file_format	how_parsed	parse_status	file_location	attributes	CSM id
855	Day the Clown Cried, The	tt0068451	the_day_the_clown_cried.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
856	Krull	tt0085811	the_dragons_of_krull.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
857	English Patient, The	tt0116209	the_english_patient.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f21b1c05-ceb0-4a8a-a76f-e6b1885e3dc2
858	Fisher King, The	tt0101889	the_fisher_king.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	5d3f6d39-772b-495d-8707-39360a4573a7
859	French Connection, The	tt0067116	the_french_connection.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d5414105-f3ce-45b8-a4ae-8e2ceaae4efb
860	Game, The	tt0119174	the_game.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	50f52de8-a871-4232-ab81-539dc41b34cc
861	Getaway, The	tt0068638	the_getaway.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
861	Getaway, The	tt0068638	the_getaway.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
862	Ghost and the Darkness, The	tt0116409	the_ghost_and_the_darkness.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
862	Ghost and the Darkness, The	tt0116409	the_ghost_and_the_darkness.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
863	Grifters, The	tt0099703	the_grifters.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
864	Haunting of Hell House, The	tt0193971	the_haunting_of_hill_house_the_haunting.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
865	Hebrew Hammer, The	tt0317640	the_hebrew_hammer.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
866	Hudsucker Proxy, The	tt0110074	the_hudsucker_proxy.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
866	Hudsucker Proxy, The	tt0110074	the_hudsucker_proxy.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
867	Insider, The	tt0140352	the_insider.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a51c3474-7c05-4f25-94a6-75c23684ac2d
868	Jacket, The	tt0366627	the_jacket.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	1b51d3be-1ee3-4eb2-b760-feacb2c2c984
869	Life and Death of Colonel Blimp, The	tt0036112	the_life_and_death_of_colonel_blimp.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
870	Man Who Wasn't There, The	tt0243133	the_man_who_wasnt_there.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	bf277c01-acbe-46e7-9151-be8174e66a71
871	Manchurian Candidate, The	tt0368008	the_manchurian_candidate.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
872	Nightmare Before Christmas, The	tt0107688	the_nightmare_before_christmas.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-nightmare-before-christmas
872	Nightmare Before Christmas, The	tt0107688	the_nightmare_before_christmas.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-nightmare-before-christmas
873	Ploughman's Lunch, The	tt0086122	the_ploughmans_lunch.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
874	Princess Bride, The	tt0093779	the_princess_bride.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a2d6dee6-f802-47ea-bacc-c86ffba2512f
875	Rage	tt0144814	the_rage_carrie_2.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
876	sjunde inseglet, Det	tt0050976	the_seventh_seal.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-seventh-seal
876	sjunde inseglet, Det	tt0050976	the_seventh_seal.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-seventh-seal
877	Seventh Victim, The	tt0036341	the_seventh_victim.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
878	Shawshank Redemption, The	tt0111161	the_shawshank_redemption.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-shawshank-redemption
879	Shining, The	tt0081505	the_shining.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-shining
879	Shining, The	tt0081505	the_shining.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-shining
880	Sixth Sense, The	tt0167404	the_sixth_sense.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d85bbfaa-e62d-402e-af8f-bc15f0e5c1a9
881	Sweet Hereafter, The	tt0120255	the_sweet_hereafter.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
881	Sweet Hereafter, The	tt0120255	the_sweet_hereafter.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
882	Talented Mr. Ripley, The	tt0134119	the_talented_mr._ripley.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c26dd2dc-2bc8-4e51-b8c6-333e48d04be5
883	Thin Man, The	tt0025878	the_thin_man.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	73130420-4a1d-4e8b-8523-da125707ec2a
884	Time Machine, The	tt0268695	the_time_machine.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	05ddccf9-9c78-41dd-884f-58df6bcd8df7
